Name,Speech,Lemmas,verse_number,inferred_verse_number
Αἴας,στέψω λαφύροις τῆσδε τῆς ἄγρας χάριν.,στέφω λάφυρα ὅδε ὁ ἄγρα Χάρις,,93.0
Ἀθήνα,"καλῶς ἔλεξας: ἀλλ᾽ ἐκεῖνό μοι φράσον,",κάλως λέγω ἄλλος ἐκεῖνος ἐγώ φράζω,,94.0
Ἀθήνα,ἔβαψας ἔγχος εὖ πρὸς Ἀργείων στρατῷ;,βάπτω ἔγχος εὖ πρός Ἀργεῖος στρατός,95,95.0
Αἴας,κόμπος πάρεστι κοὐκ ἀπαρνοῦμαι τὸ μή.,κόμπος πάρειμι οὐ ἀπαρνέομαι ὁ μή,,96.0
Ἀθήνα,ἦ καὶ πρὸς Ἀτρείδαισιν ᾔχμασας χέρα;,εἰμί καί πρός Ἀτρείδης αἰχμάζω χείρ,,97.0
Αἴας,ὥστ᾽ οὔποτ᾽ Αἴανθ᾽ οἵδ᾽ ἀτιμάσουσ᾽ ἔτι.,ὥστε οὔποτε Αἴας ὅδε ἀτιμάω ἔτι,,98.0
Ἀθήνα,"τεθνᾶσιν ἄνδρες, ὡς τὸ σὸν ξυνῆκ᾽ ἐγώ.",θνήσκω ἀνήρ ὅς ὁ σός συνήκω ἐγώ,,99.0
Αἴας,θανόντες ἤδη τἄμ᾽ ἀφαιρείσθων ὅπλα.,θνήσκω ἤδη ἁμός ἀφαιρέω ὅπλον,100,100.0
Ἀθήνα,"εἶεν, τί γὰρ δὴ παῖς ὁ τοῦ Λαερτίου,",εἶεν τίς γάρ Δεύς πᾶς ὅς ὁ Λαέρτης,,101.0
Ἀθήνα,ποῦ σοι τύχης ἕστηκεν; ἢ πέφευγέ σε;,πού σός τύχη ἵστημι εἰμί φεύγω σός,,102.0
Αἴας,ἦ τοὐπίτριπτον κίναδος ἐξήρου μ᾽ ὅπου;,εἰμί ἐπίτριπτος κίναδος ἐξαίρω ἐγώ ὅπου,,103.0
Ἀθήνα,ἔγωγ᾽: Ὀδυσσέα τὸν σὸν ἐνστάτην λέγω.,ἐγώ Ὀδυσσεύς ὁ σός ἐνίστημι λέγος,,104.0
Αἴας,"ἥδιστος, ὦ δέσποινα, δεσμώτης ἔσω",ἡδύς εἰμί δέσποινα δεσμώτης ἔσω,105,105.0
Αἴας,θακεῖ: θανεῖν γὰρ αὐτὸν οὔ τί πω θέλω.,θακέω θνήσκω γάρ αὐτός οὐ τίς πω ἐθέλω,,106.0
Ἀθήνα,πρὶν ἂν τί δράσῃς ἢ τί κερδάνῃς πλέον;,πρίν ἄν τίς δράω εἰμί τίς κερδαίνω πλέος,,107.0
Αἴας,πρὶν ἂν δεθεὶς πρὸς κίον᾽ ἑρκείου στέγης.,πρίν ἄν δέω πρός κίων ἑρκεῖος στέγη,,108.0
Ἀθήνα,τί δῆτα τὸν δύστηνον ἐργάσει κακόν;,τίς δῆτα ὁ δύστηνος ἔργασις κακός,,109.0
Αἴας,μάστιγι πρῶτον νῶτα φοινιχθεὶς θάνῃ.,μάστιξ πρότερος νῶτον φοινίσσω θνήσκω,110,110.0
Ἀθήνα,μὴ δῆτα τὸν δύστηνον ὧδέ γ᾽ αἰκίσῃ.,μή δῆτα ὁ δύστηνος ὧδε γε αἰκίζω,,111.0
Αἴας,"χαίρειν, Ἀθάνα, τἄλλ᾽ ἐγώ σ᾽ ἐφίεμαι:",χαίρω Ἀθήνη ἄλλος ἐγώ σός ἐφίημι,,112.0
Αἴας,κεῖνος δὲ τίσει τήνδε κοὐκ ἄλλην δίκην.,ἐκεῖνος δέ τίνω ὅδε οὐ ἄλλος δίκη,,113.0
Ἀθήνα,"σὺ δ᾽ οὖν, ἐπειδὴ τέρψις ἥδε σοι τὸ δρᾶν,",σύ δέ οὖν ἐπεί τέρψις ὅδε σός ὁ δράω,,114.0
Ἀθήνα,"χρῶ χειρί, φείδου μηδὲν ὧνπερ ἐννοεῖς.",χράομαι χείρ φείδομαι μηδείς ὅς ἐννοέω,115,115.0
Αἴας,"χωρῶ πρὸς ἔργον: σοὶ δὲ τοῦτ᾽ ἐφίεμαι,",χῶρος πρός ἔργνυμι σός δέ οὗτος ἐφίημι,,116.0
Αἴας,τοιάνδ᾽ ἀεί μοι σύμμαχον παρεστάναι.,τοιόσδε ἀεί ἐγώ σύμμαχος παρίστημι,,117.0
Ἀθήνα,"ὁρᾷς, Ὀδυσσεῦ, τὴν θεῶν ἰσχὺν ὅση;",ὁράω Ὀδυσσεύς ὁ θέα ἰσχύς ὅσος,,118.0
Ἀθήνα,τούτου τίς ἄν σοι τἀνδρὸς ἢ προνούστερος,οὗτος τίς ἄν σός ἀνήρ εἰμί πρόνους,,119.0
Ἀθήνα,ἢ δρᾶν ἀμείνων ηὑρέθη τὰ καίρια;,εἰμί δράω ἀμείνων εὑρίσκω ὁ καίριος,120,120.0
Ὀδυσσεύς,ἐγὼ μὲν οὐδέν᾽ οἶδ᾽: ἐποικτίρω δέ νιν,ἐγώ μέν οὐδείς οἶδα ἐποικτείρω δέ νιν,,121.0
Ὀδυσσεύς,"δύστηνον ἔμπας, καίπερ ὄντα δυσμενῆ,",δύστηνος ἔμπας καίπερ εἰμί δυσμενής,,122.0
Ὀδυσσεύς,"ὁθούνεκ᾽ ἄτῃ συγκατέζευκται κακῇ,",ὁθούνεκα ἄτη συγκαταζεύγνυμι κάκη,,123.0
Ὀδυσσεύς,οὐδὲν τὸ τούτου μᾶλλον ἢ τοὐμὸν σκοπῶν:,οὐδείς ὁ οὗτος μᾶλλον εἰμί ἐμός σκοπάω,,124.0
Ὀδυσσεύς,ὁρῶ γὰρ ἡμᾶς οὐδὲν ὄντας ἄλλο πλὴν,ὅρος γάρ ἐγώ οὐδείς εἰμί ἄλλος πλέω,125,125.0
Ὀδυσσεύς,εἴδωλ᾽ ὅσοιπερ ζῶμεν ἢ κούφην σκιάν.,εἴδωλον ὅσος ζάω εἰμί κοῦφος σκιά,,126.0
Ἀθήνα,τοιαῦτα τοίνυν εἰσορῶν ὑπέρκοπον,τοιοῦτος τοίνυν εἰσοράω ὑπέρκοπος,,127.0
Ἀθήνα,"μηδέν ποτ᾽ εἴπῃς αὐτὸς εἰς θεοὺς ἔπος,",μηδείς πότε εἶπον αὐτός εἶμι θεός ἔπος,,128.0
Ἀθήνα,"μηδ᾽ ὄγκον ἄρῃ μηδέν᾽, εἴ τινος πλέον",Μῆδος ὄγκος Ἄρης μηδείς εἰ τίς πλέος,,129.0
Ἀθήνα,ἢ χειρὶ βρίθεις ἢ μακροῦ πλούτου βάθει.,εἰμί χείρ βρίθω εἰμί μακρός πλοῦτος βάθος,130,130.0
Ἀθήνα,ὡς ἡμέρα κλίνει τε κἀνάγει πάλιν,ὅς ἥμερος κλίνω σύ ἀνάγω πάλιν,,131.0
Ἀθήνα,ἅπαντα τἀνθρώπεια: τοὺς δὲ σώφρονας,ἅπας ἀνθρώπειος ὁ δέ σώφρων,,132.0
Ἀθήνα,θεοὶ φιλοῦσι καὶ στυγοῦσι τοὺς κακούς.,θέω φιλέω καί στυγέω ὁ κακός,,133.0
Χορός,"Τελαμώνιε παῖ, τῆς ἀμφιρύτου",Τελαμών παῖς ὁ ἀμφίρυτος,,134.0
Χορός,"Σαλαμῖνος ἔχων βάθρον ἀγχιάλου,",Σαλαμίς ἔχω βάθρον ἀγχίαλος,135,135.0
Χορός,σὲ μὲν εὖ πράσσοντ᾽ ἐπιχαίρω:,σός μέν εὖ πράσσω ἐπιχαίρω,,136.0
Χορός,σὲ δ᾽ ὅταν πληγὴ Διὸς ἢ ζαμενὴς,σός δέ ὅταν πλήσσω Δῖος εἰμί ζαμενέω,,137.0
Χορός,"λόγος ἐκ Δαναῶν κακόθρους ἐπιβῇ,",λόγος ἐκ Δαναός κακόθρους ἐπιβαίνω,,138.0
Χορός,μέγαν ὄκνον ἔχω καὶ πεφόβημαι,Μέγης ὄκνος ἔχω καί φοβέω,,139.0
Χορός,πτηνῆς ὡς ὄμμα πελείας.,πτηνός ὅς ὄμμα πέλεια,140,140.0
Χορός,ὡς καὶ τῆς νῦν φθιμένης νυκτὸς,ὅς καί ὁ νῦν φθίω νύξ,,141.0
Χορός,μεγάλοι θόρυβοι κατέχουσ᾽ ἡμᾶς,μέγας θόρυβος κατέχω ἐγώ,,142.0
Χορός,"ἐπὶ δυσκλείᾳ, σὲ τὸν ἱππομανῆ",ἐπί δύσκλεια σός ὁ ἱππομανέω,,143.0
Χορός,λειμῶν᾽ ἐπιβάντ᾽ ὀλέσαι Δαναῶν,λειμών ἐπιβαίνω ὄλλυμι Δαναός,,144.0
Χορός,"βοτὰ καὶ λείαν,",βότης καί λεία,145,145.0
Χορός,"ἥπερ δορίληπτος ἔτ᾽ ἦν λοιπή,",ἧ δορίληπτος ἔτης ἐάν λοιπός,,146.0
Χορός,κτείνοντ᾽ αἴθωνι σιδήρῳ.,κτείνω αἴθων σίδηρον,,147.0
Χορός,τοιούσδε λόγους ψιθύρους πλάσσων,τοιόσδε λόγος ψίθυρος πλάσσω,,148.0
Χορός,"εἰς ὦτα φέρει πᾶσιν Ὀδυσσεύς,",εἶμι οὖς φέρω πᾶς Ὀδυσσεύς,,149.0
Χορός,καὶ σφόδρα πείθει: περὶ γὰρ σοῦ νῦν,καί σφόδρα πείθω περί γάρ σεύω νῦν,150,150.0
Χορός,"εὔπειστα λέγει, καὶ πᾶς ὁ κλύων",εὔπειστος λέγω καί πᾶς ὅς κλύω,,151.0
Χορός,τοῦ λέξαντος χαίρει μᾶλλον,ὁ λέγω χαίρω μᾶλλον,,152.0
Χορός,τοῖς σοῖς ἄχεσιν καθυβρίζων.,ὁ σός ἄχος καθυβρίζω,,153.0
Χορός,τῶν γὰρ μεγάλων ψυχῶν ἱεὶς,ὁ γάρ μέγας ψύχω ἵημι,,154.0
Χορός,οὐκ ἂν ἁμάρτοις: κατὰ δ᾽ ἄν τις ἐμοῦ,οὐ ἄν ἁμαρτάνω κάτος δέ ἄν τίς ἐγώ,155,155.0
Χορός,τοιαῦτα λέγων οὐκ ἂν πείθοι:,τοιοῦτος λέγος οὐ ἄν Πειθώ,,156.0
Χορός,πρὸς γὰρ τὸν ἔχονθ᾽ ὁ φθόνος ἕρπει.,πρός γάρ ὁ ἔχω ὅς φθόνος ἕρπω,,157.0
Χορός,καίτοι σμικροὶ μεγάλων χωρὶς,καίτοι μικρός μέγας χωρίς,,158.0
Χορός,σφαλερὸν πύργου ῥῦμα πέλονται:,σφαλερός πύργος ῥύμα πέλω,,159.0
Χορός,μετὰ γὰρ μεγάλων βαιὸς ἄριστ᾽ ἂν,μετά γάρ μέγας βαιός ἄριστον ἄν,160,160.0
Χορός,καὶ μέγας ὀρθοῖθ᾽ ὑπὸ μικροτέρων.,καί Μέγης ὀρθόω ὑπό μικρός,,161.0
Χορός,ἀλλ᾽ οὐ δυνατὸν τοὺς ἀνοήτους,ἄλλος οὐ δύω2 ὁ ἀνόητος,,162.0
Χορός,τούτων γνώμας προδιδάσκειν.,οὗτος γνώμη προδιδάσκω,,163.0
Χορός,ὑπὸ τοιούτων ἀνδρῶν θορυβεῖ,ὑπό τοιοῦτος ἀνδρόω θορυβέω,,164.0
Χορός,χἠμεῖς οὐδὲν σθένομεν πρὸς ταῦτ᾽,ἐγώ οὐδείς σθένω πρός οὗτος,165,165.0
Χορός,"ἀπαλέξασθαι σοῦ χωρίς, ἄναξ.",ἀπαλέξω σεύω χωρίς Ἄνακες,,166.0
