Name,Speech,Lemmas,verse_number,inferred_verse_number
Ἠλέκτρα,"βίοτος ἀνέλπιστος, οὐδ᾽ ἔτ᾽ ἀρκῶ:",βίοτος ἀνέλπιστος οὐδέ ἔτης ἄρκος,,186.0
Ἠλέκτρα,"ἅτις ἄνευ τεκέων κατατάκομαι,",ὅστις ἄνευ τέκος κατατήκω,,187.0
Ἠλέκτρα,"ἇς φίλος οὔτις ἀνὴρ ὑπερίσταται,",ἕως φίλος Οὖτις ἀνήρ ὑπερίσταμαι,,188.0
Ἠλέκτρα,ἀλλ᾽ ἁπερεί τις ἔποικος ἀναξία,ἄλλος ἁπερεί τίς ἔποικος ἀνάξιος,,189.0
Ἠλέκτρα,"οἰκονομῶ θαλάμους πατρός, ὧδε μὲν",οἰκόνομος θάλαμος πατήρ ὧδε μέν,190,190.0
Ἠλέκτρα,"ἀεικεῖ σὺν στολᾷ,",ἀεικής σύν στολάζομαι,,191.0
Ἠλέκτρα,κεναῖς δ᾽ ἀμφίσταμαι τραπέζαις.,κενός δέ ἀμφίστημι τράπεζα,,192.0
Χορός,"οἰκτρὰ μὲν νόστοις αὐδά,",οἰκτρός μέν νόστος αὐδάω,,193.0
Χορός,οἰκτρὰ δ᾽ ἐν κοίταις πατρῴαις,οἰκτρός δέ ἐν κοίτη πατρώιος,,194.0
Χορός,ὅτε οἱ παγχάλκων ἀνταία,ὅστε ἕ πάγχαλκος ἀνταῖος,195,195.0
Χορός,γενύων ὡρμάθη πλαγά.,γένυς ὁρμάω πλάγος,,196.0
Χορός,"δόλος ἦν ὁ φράσας, ἔρος ὁ κτείνας,",δόλος ἐάν ὅς φράζω ἔρος ὅς κτείνω,,197.0
Χορός,δεινὰν δεινῶς προφυτεύσαντες,δεινάζω δεῖνος προφυτεύω,,198.0
Χορός,"μορφάν, εἴτ᾽ οὖν θεὸς εἴτε βροτῶν",μορφάω εἴτε οὖν θεός εἴτε βρότος,,199.0
Χορός,ἦν ὁ ταῦτα πράσσων.,ἐάν ὅς οὗτος πράσσω,200,200.0
Ἠλέκτρα,ὦ πασᾶν κείνα πλέον ἁμέρα,εἰμί πάσσω ἐκεῖνος πλέος ἥμερος,,201.0
Ἠλέκτρα,ἐλθοῦσ᾽ ἐχθίστα δή μοι:,ἔρχομαι ἔχθιστος Δεύς ἐγώ,,202.0
Ἠλέκτρα,"ὦ νύξ, ὦ δείπνων ἀρρήτων",εἰμί νύξ εἰμί δεῖπνον ἄρρητος,,203.0
Ἠλέκτρα,"ἔκπαγλ᾽ ἄχθη,",ἔκπαγλος ἄγω,,204.0
Ἠλέκτρα,τοὺς ἐμὸς ἴδε πατὴρ,ὁ ἐμός εἶδον πατήρ,205,205.0
Ἠλέκτρα,"θανάτους αἰκεῖς διδύμαιν χειροῖν,",θάνατος ἀικής δίδυμος χείρ,,206.0
Ἠλέκτρα,"αἳ τὸν ἐμὸν εἷλον βίον πρόδοτον, αἵ μ᾽ ἀπώλεσαν:",ὅς ὁ ἐμός αἱρέω βίος πρόδοτος ὅς ἐγώ ἀπόλλυμι,,207.0
Ἠλέκτρα,οἷς θεὸς ὁ μέγας Ὀλύμπιος,ὅς θεός ὅς Μέγης Ὀλύμπιος,,208.0
Ἠλέκτρα,"ποίνιμα πάθεα παθεῖν πόροι,",ποίνιμος πάθος πάσχω πόρος,210,210.0
Ἠλέκτρα,μηδέ ποτ᾽ ἀγλαΐας ἀποναίατο,Μῆδος πότε ἀγλαία ἀπονίναμαι,,211.0
