Name,Speech,verse_number,inferred_verse_number,lemmata
Ἠλέκτρα,ὦ πασᾶν κείνα πλέον ἁμέρα,,201.0,ὦ πᾶς ἐκεῖνος πλείων ἡμέρα
Ἠλέκτρα,ἐλθοῦσ᾽ ἐχθίστα δή μοι:,,202.0,ἐλθοῦσ ἐχθιστος δή ἐγώ
Ἠλέκτρα,"ὦ νύξ, ὦ δείπνων ἀρρήτων",,203.0,ὦ νύξ ὦ δεῖπνον ἄρρητος
Ἠλέκτρα,"ἔκπαγλ᾽ ἄχθη,",,204.0,ἔκπαγλ ἄχθος
Ἠλέκτρα,τοὺς ἐμὸς ἴδε πατὴρ,205.0,205.0,ὁ ἐμός εἶδον πατήρ
Ἠλέκτρα,"θανάτους αἰκεῖς διδύμαιν χειροῖν,",,206.0,θάνατος ἀεικής δίδυμος χείρ
Ἠλέκτρα,"αἳ τὸν ἐμὸν εἷλον βίον πρόδοτον, αἵ μ᾽ ἀπώλεσαν:",,207.0,ὅς ὁ ἐμός αἱρέω βίος πρόδοτος ὅς μ ἀπόλλυμι
Ἠλέκτρα,οἷς θεὸς ὁ μέγας Ὀλύμπιος,,208.0,ὅς θεός ὁ μέγας Ὀλύμπιος
Ἠλέκτρα,"ποίνιμα πάθεα παθεῖν πόροι,",210.0,210.0,ποίνιμος πάθος πάσχω πόρω
Ἠλέκτρα,μηδέ ποτ᾽ ἀγλαΐας ἀποναίατο,,211.0,μηδέ ποτ ἀγλαία ἀπονίναμαι
Ἠλέκτρα,τοιάδ᾽ ἀνύσαντες ἔργα.,,212.0,τοιάδ ἀνύω ἔργον
Χορός,φράζου μὴ πόρσω φωνεῖν.,,213.0,φράζω μή πρόσω φωνέω
Χορός,οὐ γνώμαν ἴσχεις ἐξ οἵων,,214.0,οὐ γνώμη ἴσχω ἐκ οἷος
Χορός,τὰ παρόντ᾽ οἰκείας εἰς ἄτας,215.0,215.0,ὁ παρόντ οἰκεῖος εἰς ἄτη
Χορός,ἐμπίπτεις οὕτως αἰκῶς;,,216.0,ἐμπίπτω οὕτως ἀικής
Χορός,"πολὺ γάρ τι κακῶν ὑπερεκτήσω,",,217.0,πολύς γάρ τις κακός ὑπερκτάομαι
Χορός,σᾷ δυσθύμῳ τίκτουσ᾽ ἀεὶ,,218.0,σός δύσθυμος τίκτουσ ἀεί
Χορός,ψυχᾷ πολέμους: τὰ δὲ τοῖς δυνατοῖς,,219.0,ψυχή πόλεμος ὁ δέ ὁ δυνατός
Χορός,οὐκ ἐριστὰ πλάθειν.,220.0,220.0,οὐ ἐριστός πλάθω
Ἠλέκτρα,"δεινοῖς ἠναγκάσθην, δεινοῖς:",,221.0,δεινός ἀναγκάζω δεινός
Ἠλέκτρα,"ἔξοιδ᾽, οὐ λάθει μ᾽ ὀργά.",,222.0,ἔξοιδ οὐ λανθάνω μ ὀργή
Ἠλέκτρα,ἀλλ᾽ ἐν γὰρ δεινοῖς οὐ σχήσω,,223.0,ἀλλ ἐν γάρ δεινός οὐ ἔχω
Ἠλέκτρα,"ταύτας ἄτας,",,224.0,οὗτος ἄτη
Ἠλέκτρα,ὄφρα με βίος ἔχῃ.,225.0,225.0,ὄφρα ἐγώ βίος ἔχω
Ἠλέκτρα,"τίνι γάρ ποτ᾽ ἄν, ὦ φιλία γενέθλα,",,226.0,τίς γάρ ποτ ἀνά ὦ φίλιος γενέθλη
Ἠλέκτρα,"πρόσφορον ἀκούσαιμ᾽ ἔπος, τίνι φρονοῦντι καίρια;",,227.0,πρόσφορος ἀκούσαιμ ἔπος τίς φρονέω καίριος
Ἠλέκτρα,"ἄνετέ μ᾽ ἄνετε, παράγοροι:",,228.0,ἄνετέ μ ἀνίημι παρήγορος
Ἠλέκτρα,"τάδε γὰρ ἄλυτα κεκλήσεται,",,229.0,ὅδε γάρ ἄλυτος καλέω
Ἠλέκτρα,οὐδέ ποτ᾽ ἐκ καμάτων ἀποπαύσομαι,230.0,230.0,οὐδέ ποτ ἐκ κάματος ἀποπαύω
Ἠλέκτρα,ἀνάριθμος ὧδε θρήνων.,,231.0,ἀνάριθμος ὧδε θρῆνος
Χορός,"ἀλλ᾽ οὖν εὐνοίᾳ γ᾽ αὐδῶ,",,232.0,ἀλλ οὖν εὔνοια γε αὐδάω
Χορός,"μάτηρ ὡσεί τις πιστά,",,233.0,μήτηρ ὡσεί τις πιστός
Χορός,μὴ τίκτειν σ᾽ ἄταν ἄταις.,235.0,235.0,μή τίκτω σ ἄτη ἄτη
Ἠλέκτρα,"καὶ τί μέτρον κακότατος ἔφυ; φέρε,",,236.0,καί τίς μέτρον κακότης φύω φέρω
