Name,Speech,verse_number,inferred_verse_number,lemmata
Αἴας,κόμπος πάρεστι κοὐκ ἀπαρνοῦμαι τὸ μή.,,96.0,κόμπος πάρειμι οὐ ἀπαρνέομαι ὁ μή
Ἀθήνα,ἦ καὶ πρὸς Ἀτρείδαισιν ᾔχμασας χέρα;,,97.0,εἰμί καί πρός ̓ἀτρείδης αἰχμάζω χείρ
Αἴας,ὥστ᾽ οὔποτ᾽ Αἴανθ᾽ οἵδ᾽ ἀτιμάσουσ᾽ ἔτι.,,98.0,ὥστ οὔποτ Αἴανθ οἵδ ἀτιμάσουσ ἔτι
Ἀθήνα,"τεθνᾶσιν ἄνδρες, ὡς τὸ σὸν ξυνῆκ᾽ ἐγώ.",,99.0,θνήσκω ἀνήρ ὡς ὁ σός ξυνῆκ ἐγώ
Αἴας,θανόντες ἤδη τἄμ᾽ ἀφαιρείσθων ὅπλα.,100.0,100.0,θνήσκω ἤδη τἄμ ἀφαιρέω ὅπλον
Ἀθήνα,"εἶεν, τί γὰρ δὴ παῖς ὁ τοῦ Λαερτίου,",,101.0,εἰμί τίς γάρ δή παῖς ὁ ὁ λαέρτης
Ἀθήνα,ποῦ σοι τύχης ἕστηκεν; ἢ πέφευγέ σε;,,102.0,ποῦ σύ τύχη ἵστημι ἤ πέφευγέ σύ
Αἴας,ἦ τοὐπίτριπτον κίναδος ἐξήρου μ᾽ ὅπου;,,103.0,εἰμί ἐπίτριπτος κίναδος ἐξέρομαι μ ὅπου
Ἀθήνα,ἔγωγ᾽: Ὀδυσσέα τὸν σὸν ἐνστάτην λέγω.,,104.0,ἔγωγ Ὀδυσσεύς ὁ σός ἐνστάτης λέγω
Αἴας,"ἥδιστος, ὦ δέσποινα, δεσμώτης ἔσω",105.0,105.0,ἡδύς ὦ δέσποινα δεσμώτης ἔσω
Αἴας,θακεῖ: θανεῖν γὰρ αὐτὸν οὔ τί πω θέλω.,,106.0,θακέω θνήσκω γάρ αὐτός οὐ τίς πω ἐθέλω
Ἀθήνα,πρὶν ἂν τί δράσῃς ἢ τί κερδάνῃς πλέον;,,107.0,πρίν ἄν τίς δράω ἤ τίς κερδαίνω πλείων
Αἴας,πρὶν ἂν δεθεὶς πρὸς κίον᾽ ἑρκείου στέγης.,,108.0,πρίν ἄν δέω πρός κίω ἑρκεῖος στέγη
Ἀθήνα,τί δῆτα τὸν δύστηνον ἐργάσει κακόν;,,109.0,τίς δῆτα ὁ δύστηνος ἐργάζομαι κακός
