Name,Speech,verse_number,inferred_verse_number,lemmata
Χορός,γνῶναι ποῦ μοί ποτε ναίει.,,137.0,γιγνώσκω ποῦ ἐγώ ποτέ ναίω
Οἰδίπους,"ὅδ᾽ ἐκεῖνος ἐγώ:  φωνῇ γὰρ ὁρῶ,",,138.0,ὅδ ἐκεῖνος ἐγώ  φωνή γάρ ὁράω
Οἰδίπους,τὸ φατιζόμενον.,,139.0,ὁ φατίζω
Χορός,"ἰὼ ἰώ,",140.0,140.0,ἰώ ἰώ
Χορός,"δεινὸς μὲν ὁρᾶν, δεινὸς δὲ κλύειν.",,141.0,δεινός μέν ὁράω δεινός δέ κλύω
Οἰδίπους,"μή μ᾽, ἱκετεύω, προσίδητ᾽ ἄνομον.",,142.0,μή μ ἱκετεύω προσίδητ ἄνομος
Χορός,"Ζεῦ ἀλεξῆτορ, τίς ποθ᾽ ὁ πρέσβυς;",,143.0,Ζεύς ἀλεξήτωρ τις ποθ ὁ πρέσβυς
Οἰδίπους,οὐ πάνυ μοίρας εὐδαιμονίσαι,,144.0,οὐ πάνυ μοῖρα εὐδαιμονίζω
Οἰδίπους,"πρώτης, ὦ τῆσδ᾽ ἔφοροι χώρας.",145.0,145.0,πρῶτος ὦ τῆσδ ἔφορος χώρα
Οἰδίπους,δηλῶ δ᾽:  οὐ γὰρ ἂν ὧδ᾽ ἀλλοτρίοις,,146.0,δηλόω δ  οὐ γάρ ἄν ὧδ ἀλλότριος
Οἰδίπους,ὄμμασιν εἷρπον,,147.0,ὄμμα ἕρπω
Οἰδίπους,κἀπὶ σμικροῖς μέγας ὥρμουν.,,148.0,ἐπί μικρός μέγας ὁρμάω
Χορός,"ἐή, ἀλαῶν ὀμμάτων",,149.0,ἐή ἀλαόω ὄμμα
Χορός,ἆρα καὶ ἦσθα φυτάλμιος; δυσαίων,150.0,150.0,ἆρα καί εἰμί φυτάλμιος δυσαής
Χορός,"μακραίων γ᾽, ὅσ᾽ ἐπεικάσαι.",,151.0,μακραίων γε ὅσ ἐπεικάζω
Χορός,ἀλλ᾽ οὐ μὰν ἔν γ᾽ ἐμοὶ,,152.0,ἀλλ οὐ μήν ἐν γε ἐγώ
Χορός,προσθήσει τάσδ᾽ ἀράς.,,153.0,προσθέω τάσδ ἀρά
Χορός,"περᾷς γάρ, περᾷς:  ἀλλ᾽ ἵνα τῷδ᾽ ἐν ἀ-",155.0,155.0,περάω1 γάρ περάω1  ἀλλ ἵνα τῷδ ἐν ἀ
Χορός,φθέγκτῳ μὴ προπέσῃς νάπει,,156.0,φθέγκτῳ μή προπίτνω νάπος
Χορός,"ποιάεντι, κάθυδρος οὗ",,157.0,ποιήεις κάθυδρος ἵημι
Χορός,κρατὴρ μειλιχίων ποτῶν,,158.0,κρατὴρ μειλίχιος πότης
Χορός,"ῥεύματι συντρέχει,",160.0,160.0,ῥεῦμα συντρέχω
Χορός,"τόν, ξένε πάμμορ᾽, εὖ φύλαξαι;",,161.0,ὁ ξένος πάμμορ εὖ φυλάσσω
Χορός,μετάσταθ᾽ ἀπόβαθι.  πολ-,,162.0,μετάσταθ ἀποβαίνω  πολ
Χορός,λὰ κέλευθος ἐρατύει:,,163.0,λὰ κέλευθος ἐρητύω
Χορός,"κλύεις, ὦ πολύμοχθ᾽ ἀλᾶτα;",165.0,165.0,κλύω ὦ πολύμοχθ ἀλήτης
Χορός,λόγον εἴ τιν᾽ οἴσεις,,166.0,λόγος εἰ τιν φέρω
Χορός,"πρὸς ἐμὰν λέσχαν, ἀβάτων ἀποβάς,",,167.0,πρός ἐμός λέσχη ἀβάω ἀποβαίνω
Χορός,"ἵνα πᾶσι νόμος,",,168.0,ἵνα πᾶς νόμος
Χορός,φώνει:  πρόσθεν δ᾽ ἀπερύκου.,,169.0,φωνέω  πρόσθεν δ ἀπερύκω
Οἰδίπους,"θύγατερ, ποῖ τις φροντίδος ἔλθῃ;",170.0,170.0,θυγάτηρ ποῖ τις φροντίς ἔρχομαι
Ἀντιγόνη,"ὦ πάτερ, ἀστοῖς ἴσα χρὴ μελετᾶν,",,171.0,ὦ πάτηρ ἀστός ἴσος χρή μελετάω
Ἀντιγόνη,εἴκοντας ἃ δεῖ κἀκούοντας.,,172.0,εἴκω ὅς δεῖ ἀκούω
Οἰδίπους,πρόσθιγέ νύν μου.,,173.0,πρόσθιγέ νῦν ἐγώ
Ἀντιγόνη,ψαύω καὶ δή.,,174.0,ψαύω καί δή
Οἰδίπους,"ὦ ξένε, μὴ δῆτ᾽ ἀδικηθῶ σοὶ",,175.0,ὦ ξένος μή δῆτ ἀδικέω σύ
Οἰδίπους,πιστεύσας καὶ μεταναστάς.,175.0,175.5,πιστεύω καί μετανίστημι
Χορός,"οὔ τοι μήποτέ σ᾽ ἐκ τῶνδ᾽ ἑδράνων,",,176.0,οὐ σύ μήποτε σ ἐκ τῶνδ ἕδρανον
Χορός,"ὦ γέρον, ἄκοντά τις ἄξει.",,177.0,ὦ γέρων ἄκοντά τις ἄγω
Οἰδίπους,ἔτ᾽ οὖν;,,178.0,ἔτ οὖν
Χορός,ἔτι βαῖνε πόρσω.,,179.0,ἔτι βαίνω πρόσω
