lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
νάω,2,2.0,7.0,0.0,1.4117722546858962,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0007865168539325843,Oedipus Tyrannus,νάω
ἐπί,21,21.0,41.0,9.0,4.682280880698449,12.0,30.0,8900,0.0010112359550561798,0.001348314606741573,0.0023595505617977526,0.0033707865168539327,0.004606741573033708,Oedipus Tyrannus,ἐπί
Ἰσμηνός,1,1.0,7.0,0.0,1.0043432155918088,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0007865168539325843,Oedipus Tyrannus,ἰσμηνός
μαντεία,6,6.0,17.0,0.0,2.3454106354647255,1.0,11.0,8900,0.0,0.00011235955056179776,0.0006741573033707865,0.0012359550561797752,0.001910112359550562,Oedipus Tyrannus,μαντεία
σποδός,1,1.0,5.0,0.0,0.9974563052680959,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,σποδός
ὥσπερ,8,8.0,19.0,1.0,2.816233801937053,2.0,14.0,8900,0.00011235955056179776,0.00022471910112359551,0.0008988764044943821,0.0015730337078651685,0.0021348314606741575,Oedipus Tyrannus,ὥσπερ
εἰσοράω,4,4.0,11.0,0.0,2.0232351616854922,0.0,8.0,8900,0.0,0.0,0.00044943820224719103,0.0008988764044943821,0.0012359550561797752,Oedipus Tyrannus,εἰσοράω
ἄγαν,4,4.0,11.0,0.0,1.9993310569599712,0.0,8.0,8900,0.0,0.0,0.00044943820224719103,0.0008988764044943821,0.0012359550561797752,Oedipus Tyrannus,ἄγαν
ἤδη,14,14.0,26.0,4.0,3.834967669091491,6.0,22.0,8900,0.00044943820224719103,0.0006741573033707865,0.0015730337078651685,0.0024719101123595504,0.0029213483146067415,Oedipus Tyrannus,ἤδη
σαλεύω,1,1.0,6.0,0.0,1.0284446031256627,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0006741573033707865,Oedipus Tyrannus,σαλεύω
ἀνακουφίζω,1,1.0,6.0,0.0,1.0304640429710024,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0006741573033707865,Oedipus Tyrannus,ἀνακουφίζω
κάρ,7,7.0,16.0,0.0,2.654792285268676,2.0,12.0,8900,0.0,0.00022471910112359551,0.0007865168539325843,0.001348314606741573,0.0017977528089887641,Oedipus Tyrannus,κάρ
βυθάω,1,1.0,5.0,0.0,1.001980057667834,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,βυθάω
ἔτης,4,4.0,15.0,0.0,2.0966106514506273,0.0,8.0,8900,0.0,0.0,0.00044943820224719103,0.0008988764044943821,0.0016853932584269663,Oedipus Tyrannus,ἔτης
οἷος,12,12.0,24.0,2.0,3.3150282936066455,6.0,18.0,8900,0.00022471910112359551,0.0006741573033707865,0.001348314606741573,0.0020224719101123597,0.002696629213483146,Oedipus Tyrannus,οἷος
φοίνιος,3,3.0,11.0,0.0,1.7624522014051223,0.0,6.0,8900,0.0,0.0,0.00033707865168539324,0.0006741573033707865,0.0012359550561797752,Oedipus Tyrannus,φοίνιος
σάλος,1,1.0,5.0,0.0,0.9521331012822958,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,σάλος
φθίω,6,6.0,18.0,1.0,2.477312439535418,1.0,11.0,8900,0.00011235955056179776,0.00011235955056179776,0.0006741573033707865,0.0012359550561797752,0.0020224719101123597,Oedipus Tyrannus,φθίω
κάλυξ,1,1.0,6.0,0.0,1.0293213771716283,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0006741573033707865,Oedipus Tyrannus,κάλυξ
ἔγκαρπος,1,1.0,5.0,0.0,1.0271314429025145,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,ἔγκαρπος
